,Is_Construction_Phase,Year_Index_Operational,Sim_Year_Operational,Inflation_Factor_Operational,Degradation_Factor_Operational,Production_kWh,Consommation_kWh,Autoconsommation_kWh,Surplus_kWh,Tarif_OA_Annuel,Prix_Autoconso_Annuel,Revenus_Surplus,Revenus_Autoconsommation,Prime_Autoconso_Encaissee,Revenus_Total,OPEX_Maintenance_Mensuel,OPEX_Assurance_Mensuel,OPEX_Admin_Mensuel,OPEX_Provision_Onduleur_Mensuel,OPEX,TURPE,Amortissement,EBITDA,EBIT,Interets_Payes,Principal_Rembourse,Service_Dette,EBT,Tax_Payment,Solde_IS_N_1_Paye_Mois,Total_IS_Decaisse_Mois,Resultat_Net,VAT_Collectee,VAT_Deductible_CAPEX,VAT_Deductible_OPEX_TURPE,VAT_Due_Mois,VAT_Payment,BFR_Mensuel,Delta_BFR_Mensuel,CAPEX_Initial_Mensuel,Debt_Drawn_This_Month,Solde_Dette_Fin_Mois,FCFE,OCF_Projet,Solde_Tresorerie_Fin_Mois
2025-11-30,0.0,0.0,1.0,1.0,1.0,4583.333333333334,2500.0,2500.0,2083.3333333333335,0.0761,0.15,158.54166666666669,375.0,0.0,533.5416666666667,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,457.863888888889,-375.4694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.70833333333336,0.0,15.135555555555555,91.5727777777778,91.5727777777778,495.70277777777784,-17.78472222222223,0.0,0.0,0.0,759.5452777777778,384.07583333333343,27649.435555555552
2025-12-31,0.0,0.0,1.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,17.78472222222223,0.0,0.0,0.0,720.4188888888889,362.7341666666666,28369.85444444444
2026-01-31,0.0,1.0,2.0,1.0,0.995,4712.430555555556,2583.3333333333335,2583.3333333333335,2129.0972222222213,0.0761,0.15,162.02429861111105,387.5,0.0,549.524298611111,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,473.8465208333332,-359.48681250000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.90485972222221,0.0,15.135555555555555,94.76930416666666,94.76930416666666,511.6854097222221,-1.8020902777779497,0.0,0.0,0.0,740.3661194444446,380.8793069444445,29110.220563888884
2026-02-28,0.0,1.0,2.0,1.0,1.0,4277.777777777777,2333.333333333333,2333.333333333333,1944.4444444444446,0.0761,0.15,147.97222222222223,349.99999999999994,0.0,497.9722222222222,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,422.2944444444444,-411.03888888888895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.59444444444443,0.0,15.135555555555555,84.45888888888888,84.45888888888888,460.1333333333332,-51.552076388888906,0.0,0.0,0.0,800.4265208333334,389.3876319444445,29910.64708472222
2026-03-31,0.0,1.0,2.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,53.354166666666856,0.0,0.0,0.0,684.8494444444443,327.16472222222205,30595.496529166663
2026-04-30,0.0,1.0,2.0,1.0,1.0,4583.333333333334,2500.0,2500.0,2083.3333333333335,0.0761,0.15,158.54166666666669,375.0,0.0,533.5416666666667,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,457.863888888889,-375.4694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.70833333333336,0.0,15.135555555555555,91.5727777777778,91.5727777777778,495.70277777777784,-17.78472222222223,0.0,0.0,0.0,759.5452777777778,384.07583333333343,31355.041806944442
2026-05-31,0.0,1.0,2.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,17.78472222222223,0.0,0.0,0.0,720.4188888888889,362.7341666666666,32075.46069583333
2026-06-30,0.0,1.0,2.0,1.0,1.0,4583.333333333334,2500.0,2500.0,2083.3333333333335,0.0761,0.15,158.54166666666669,375.0,0.0,533.5416666666667,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,457.863888888889,-375.4694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.70833333333336,0.0,15.135555555555555,91.5727777777778,91.5727777777778,495.70277777777784,-17.78472222222223,0.0,0.0,0.0,759.5452777777778,384.07583333333343,32835.00597361111
2026-07-31,0.0,1.0,2.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,17.78472222222223,0.0,0.0,0.0,720.4188888888889,362.7341666666666,33555.4248625
2026-08-31,0.0,1.0,2.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,0.0,0.0,0.0,0.0,738.2036111111112,380.5188888888889,34293.628473611105
2026-09-30,0.0,1.0,2.0,1.0,1.0,4583.333333333334,2500.0,2500.0,2083.3333333333335,0.0761,0.15,158.54166666666669,375.0,0.0,533.5416666666667,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,457.863888888889,-375.4694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.70833333333336,0.0,15.135555555555555,91.5727777777778,91.5727777777778,495.70277777777784,-17.78472222222223,0.0,0.0,0.0,759.5452777777778,384.07583333333343,35053.17375138888
2026-10-31,0.0,1.0,2.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,17.78472222222223,0.0,0.0,0.0,720.4188888888889,362.7341666666666,35773.59264027777
2026-11-30,0.0,1.0,2.0,1.0,1.0,4583.333333333334,2500.0,2500.0,2083.3333333333335,0.0761,0.15,158.54166666666669,375.0,0.0,533.5416666666667,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,457.863888888889,-375.4694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.70833333333336,0.0,15.135555555555555,91.5727777777778,91.5727777777778,495.70277777777784,-17.78472222222223,0.0,0.0,0.0,759.5452777777778,384.07583333333343,36533.137918055545
2026-12-31,0.0,1.0,2.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,17.78472222222223,0.0,0.0,0.0,720.4188888888889,362.7341666666666,37253.556806944434
2027-01-31,0.0,2.0,3.0,1.0,0.990025,4688.868402777778,2583.3333333333335,2583.3333333333335,2105.5350694444446,0.0761,0.15,160.23121878472224,387.5,0.0,547.7312187847223,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,472.05344100694447,-361.2798923263889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.54624375694446,0.0,15.135555555555555,94.41068820138891,94.41068820138891,509.89232989583337,-3.595170104166698,0.0,0.0,0.0,742.5178152361111,381.2379229097223,37996.074622180546
2027-02-28,0.0,2.0,3.0,1.0,1.0,4277.777777777777,2333.333333333333,2333.333333333333,1944.4444444444446,0.0761,0.15,147.97222222222223,349.99999999999994,0.0,497.9722222222222,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,422.2944444444444,-411.03888888888895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.59444444444443,0.0,15.135555555555555,84.45888888888888,84.45888888888888,460.1333333333332,-49.75899656250016,0.0,0.0,0.0,798.6334410069446,387.59455211805573,38794.70806318749
2027-03-31,0.0,2.0,3.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,53.354166666666856,0.0,0.0,0.0,684.8494444444443,327.16472222222205,39479.55750763194
2027-04-30,0.0,2.0,3.0,1.0,1.0,4583.333333333334,2500.0,2500.0,2083.3333333333335,0.0761,0.15,158.54166666666669,375.0,0.0,533.5416666666667,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,457.863888888889,-375.4694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.70833333333336,0.0,15.135555555555555,91.5727777777778,91.5727777777778,495.70277777777784,-17.78472222222223,0.0,0.0,0.0,759.5452777777778,384.07583333333343,40239.10278540971
2027-05-31,0.0,2.0,3.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,17.78472222222223,0.0,0.0,0.0,720.4188888888889,362.7341666666666,40959.5216742986
2027-06-30,0.0,2.0,3.0,1.0,1.0,4583.333333333334,2500.0,2500.0,2083.3333333333335,0.0761,0.15,158.54166666666669,375.0,0.0,533.5416666666667,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,457.863888888889,-375.4694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.70833333333336,0.0,15.135555555555555,91.5727777777778,91.5727777777778,495.70277777777784,-17.78472222222223,0.0,0.0,0.0,759.5452777777778,384.07583333333343,41719.06695207638
2027-07-31,0.0,2.0,3.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,17.78472222222223,0.0,0.0,0.0,720.4188888888889,362.7341666666666,42439.485840965266
2027-08-31,0.0,2.0,3.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,0.0,0.0,0.0,0.0,738.2036111111112,380.5188888888889,43177.689452076374
2027-09-30,0.0,2.0,3.0,1.0,1.0,4583.333333333334,2500.0,2500.0,2083.3333333333335,0.0761,0.15,158.54166666666669,375.0,0.0,533.5416666666667,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,457.863888888889,-375.4694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.70833333333336,0.0,15.135555555555555,91.5727777777778,91.5727777777778,495.70277777777784,-17.78472222222223,0.0,0.0,0.0,759.5452777777778,384.07583333333343,43937.23472985415
2027-10-31,0.0,2.0,3.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,17.78472222222223,0.0,0.0,0.0,720.4188888888889,362.7341666666666,44657.65361874304
2027-11-30,0.0,2.0,3.0,1.0,1.0,4583.333333333334,2500.0,2500.0,2083.3333333333335,0.0761,0.15,158.54166666666669,375.0,0.0,533.5416666666667,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,457.863888888889,-375.4694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.70833333333336,0.0,15.135555555555555,91.5727777777778,91.5727777777778,495.70277777777784,-17.78472222222223,0.0,0.0,0.0,759.5452777777778,384.07583333333343,45417.198896520815
2027-12-31,0.0,2.0,3.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,17.78472222222223,0.0,0.0,0.0,720.4188888888889,362.7341666666666,46137.617785409704
